Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home Page,1050073,1,0,12997,46.36,99.213%,101.65840,261.62,0.23,2635.2
Login,1050067,0,0,5377,21.92,99.213%,101.66794,262.26,0.12,2641.5
Add to Cart,1050057,0,0,5339,16.49,99.214%,101.66870,261.63,0.26,2635.1
View Cart,1050049,1,0,5835,28.14,99.215%,101.66944,262.00,0.11,2638.9
Place Order,1050024,0,0,5335,19.04,99.217%,101.67052,261.62,0.23,2634.9
TOTAL,5250270,1,0,12997,28.48,99.214%,508.28230,1308.99,0.94,2637.1
