Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Home Page,1050073,1,0,1,1,7,0,12997,99.213%,101.65840,261.62,0.23
Login,1050067,0,0,1,1,6,0,5377,99.213%,101.66794,262.26,0.12
Add to Cart,1050057,0,0,1,1,7,0,5339,99.214%,101.66870,261.63,0.26
View Cart,1050049,1,0,1,1,7,0,5835,99.215%,101.66944,262.00,0.11
Place Order,1050024,0,0,1,1,7,0,5335,99.217%,101.67052,261.62,0.23
TOTAL,5250270,1,0,1,1,7,0,12997,99.214%,508.28230,1308.99,0.94
