Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home Page,288,63,12,1014,76.58,0.000%,4.82121,43.82,1.36,9307.0
Login,288,62,9,1680,153.06,0.000%,4.90313,48.43,0.71,10114.0
Add to Cart,288,68,10,1053,110.69,0.000%,4.90488,44.58,1.59,9307.0
View Cart,288,127,19,809,122.80,0.000%,4.91032,46.95,0.70,9792.0
Place Order,286,77,12,703,92.40,0.000%,4.93095,44.82,1.40,9307.0
TOTAL,1438,79,9,1680,116.72,0.000%,23.95868,223.81,5.65,9565.8
