Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Home Page,1200,34,19,70,107,246,5,1284,0.000%,1.85938,16.90,0.52
Login,1200,30,15,56,77,206,3,1680,0.000%,1.86233,18.39,0.27
Add to Cart,1200,31,17,59,88,233,5,1053,0.000%,1.86276,16.93,0.60
View Cart,1200,56,30,116,189,482,7,809,0.000%,1.86315,17.82,0.27
Place Order,1197,34,19,71,105,326,5,703,0.000%,1.85951,16.90,0.53
TOTAL,5997,37,20,76,115,279,3,1680,0.000%,9.29135,86.79,2.19
