Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Home Page,5685,26,15,51,82,176,5,1284,0.000%,4.67864,42.52,1.32
Login,5681,23,12,45,74,167,3,5377,0.053%,4.67948,46.20,0.68
Add to Cart,5678,24,14,47,77,180,5,1053,0.000%,4.67761,42.51,1.52
View Cart,5678,42,23,87,120,285,6,5445,0.035%,4.67816,44.72,0.67
Place Order,5672,24,14,49,79,190,4,703,0.000%,4.67458,42.49,1.33
TOTAL,28394,28,15,57,90,206,3,5445,0.018%,23.36770,218.25,5.51
