Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Home Page,6084,43,16,72,119,449,5,12286,0.033%,.96430,8.76,0.27
Login,6079,33,13,61,108,336,3,5377,0.049%,.96367,9.51,0.14
Add to Cart,6075,33,14,65,110,389,5,1053,0.000%,.96308,8.75,0.31
View Cart,6075,59,24,111,202,592,6,5445,0.049%,.96308,9.21,0.14
Place Order,6066,35,14,66,120,379,4,1668,0.000%,.96172,8.74,0.27
TOTAL,30379,41,16,78,130,449,3,12286,0.026%,4.81497,44.97,1.13
