Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home Page,22416,38,0,12997,309.32,63.736%,2.42801,11.92,0.25,5027.5
Login,22411,27,0,5377,139.97,63.750%,2.42773,12.61,0.13,5317.5
Add to Cart,22402,24,0,5339,95.46,63.753%,2.42678,11.91,0.29,5024.9
View Cart,22398,41,0,5835,169.87,63.787%,2.42636,12.32,0.13,5198.9
Place Order,22379,26,0,5335,113.41,63.810%,2.42447,11.89,0.25,5021.1
TOTAL,112006,31,0,12997,182.43,63.767%,12.13175,60.64,1.04,5118.0
