Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Home Page,21696,24,1,38,85,359,0,12286,65.828%,2.71551,12.96,0.26
Login,21691,18,1,31,73,273,0,5377,65.866%,2.71523,13.68,0.13
Add to Cart,21682,17,1,34,76,259,0,5339,65.870%,2.71417,12.94,0.30
View Cart,21681,29,1,66,134,445,0,5835,65.887%,2.71410,13.38,0.13
Place Order,21669,19,1,34,81,318,0,5335,65.901%,2.71271,12.93,0.26
TOTAL,108419,21,1,40,90,332,0,12286,65.870%,13.56991,65.87,1.09
