Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Home Page,21696,24,0,12286,188.56,65.828%,2.71551,12.96,0.26,4886.0
Login,21691,18,0,5377,112.57,65.866%,2.71523,13.68,0.13,5158.3
Add to Cart,21682,17,0,5339,76.14,65.870%,2.71417,12.94,0.30,4882.7
View Cart,21681,29,0,5835,122.02,65.887%,2.71410,13.38,0.13,5047.2
Place Order,21669,19,0,5335,96.39,65.901%,2.71271,12.93,0.26,4880.6
TOTAL,108419,21,0,12286,125.15,65.870%,13.56991,65.87,1.09,4971.0
